nb;da;sv;en;fr;de;nn;se;smh;fkv
Dette er ikke en ADHD-test;Dette er ikke en ADHD-test;Detta är inte ett ADHD-test;This is not an ADND-test;Ce n’est pas un test de TDAH;Dies ist kein ADHS-Test.;Dette er ikkje ein ADHD-test.;Dát ii leat ADHD-geahččaleapmi.;Dette ii leat ADHD-diehtaduodje;Dette ei ole ADHD-testi.
Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon;Jeg kan som regel starte på kedelige opgaver uden større modstand;Jag kan vanligtvis börja med tråkiga uppgifter utan särskilt mycket motstånd;I can usually start on boring tasks without much friction.;Je parviens généralement à commencer des tâches ennuyeuses sans trop de friction.;Ich kann normalerweise mit langweiligen Aufgaben beginnen, ohne viel Reibung zu erleben.;Eg klarer vanlegvis å starte på kjedelege oppgåver utan særleg friksjon;Mun dovdda láhkái šlára bargguide álgoheapmái haga ruhta;Mun divrras jáhkkán vuodjástit vuollega válmmástusarbehkuid haga stuora dikhte;Minun oon tavalisesti heleppo alottaat tylssät työt ilman isoa kitkaa
Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer;Jeg mister sjældent vigtige ting og finder dem hurtigt, hvis det sker;Jag tappar sällan bort viktiga saker, och hittar dem snabbt om det händer;I rarely lose important things, and if I do, I find them quickly.;Je perds rarement des objets importants et je les retrouve vite lorsque cela arrive.;Ich verliere selten wichtige Dinge und finde sie schnell wieder, falls es passiert.;Eg mistar sjeldan viktige ting og finn dei raskt att dersom det skjer;Mun vajaldaid ja boazodallán váttisvuođaid vuostáiváldi go dat dáhpáhuvvá;Mun vuolgit álo váldet vallasvuoru birra, ja gávdnat dan rievttes go dat dáhpáhuvvá;Minä harvon hukkhaan tärkeitä asioita ja löyvän ne äkkiä ko se tapahtuu
Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister;Jeg bliver som regel opfattet som pålidelig, når det gælder aftaler og deadlines;Jag uppfattas oftast som pålitlig när det gäller avtal och deadlines;I am generally seen as reliable when it comes to appointments and deadlines.;On me considère généralement comme fiable lorsqu’il s’agit de rendez-vous et d’échéances.;Ich werde im Allgemeinen als zuverlässig wahrgenommen, wenn es um Termine und Fristen geht.;Eg blir stort sett oppfatta som påliteleg når det gjeld avtalar og fristar;Mu birra šaddá álo muituhit ahte mun lean ráhkis ja árvvus barggutid ja áigodatid;Mun álo birget vejolašvuođain ja áššisániid gaskal;Minut koetaan yleensä luottettavaksi sovittujen aikojen ja tehtävien kans
Jeg klarer som regel å holde fokus på én oppgave til den er fullført;Jeg kan som regel holde fokus på én opgave, indtil den er færdig;Jag kan oftast hålla fokus på en uppgift tills den är slutförd;I can usually stay focused on one task until it is completed.;Je parviens en général à rester concentré sur une seule tâche jusqu’à ce qu’elle soit terminée.;Ich schaffe es normalerweise, mich auf eine Aufgabe zu konzentrieren, bis sie abgeschlossen ist.;Eg klarer som regel å halde fokus på éi oppgåve til ho er fullført;Mun beasán dábálaččat joavkan eret váilevaš barggu ovttadettiin gitta go dat lea máksán;Mun divnastan álo ovddos bargguid vuollerástegis gitta go dat leat geargan;Minä pystyn tavalisesti pitthään fokuksen yhthen työn loppuunsa
Jeg er ikke avhengig av kaos eller siste liten for å komme i gang;Jeg er ikke afhængig af kaos eller sidste øjeblik for at komme i gang;Jag är inte beroende av kaos eller sista minuten för att komma igång;I am not dependent on chaos or last-minute pressure to get started.;Je ne dépends pas du chaos ou de la dernière minute pour réussir à démarrer.;Ich bin nicht auf Chaos oder den letzten Moment angewiesen, um in Gang zu kommen.;Eg er ikkje avhengig av kaos eller siste liten for å kome i gang;In berošta hurriiheapmái dahje geardduheapmái maŋimuš geardduid ovddos;Mun ii dárbbaš kaosav dahje maŋemus áiggis bargat;En ole riippuvainen kaaoksesta eli viimihetken pakosta lähteä liikkeele
Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre;Jeg bliver ikke så rastløs, at jeg må bevæge mig eller afbryde andre;Jag blir inte så rastlös att jag måste röra på mig eller avbryta andra;I do not become so restless that I need to move around or interrupt others.;Je ne deviens pas si agité que je dois bouger ou interrompre les autres.;Ich werde nicht so unruhig, dass ich mich bewegen oder andere unterbrechen muss.;Eg blir ikkje så rastlaus at eg må røre på meg eller avbryte andre;In šaddat nu njálmmálaš ahte galgat lihkastit vai geavahit iežan;Mun lihkkárdus ii galggaš dan áddet ahte galggaš mannat ja báhkadit earáid;En tule niin levottomaksi ette minun pittää liikkua tai keskeyttää toisia
Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer;Jeg glemmer ikke aftaler eller beskeder i et omfang, der skaber problemer;Jag glömmer inte möten eller meddelanden i en grad som skapar problem;I do not forget appointments or messages to a degree that causes problems.;J’oublie rarement des rendez-vous ou des messages au point que cela cause des problèmes.;Ich vergesse Termine oder Mitteilungen nicht in einem Ausmaß, das Probleme verursacht.;Eg gløymer ikkje avtalar eller beskjedar i ein grad som skaper problem;In vajálda muitalit dahje dieđit nu buot go dat dagaha váttisvuođaiguin;Mun ii vajálda áššiid dahje dieđuid dan vejolašvuođain ahte dat buriid birget;En unohda sovittuja asioita eli viesthiä siinä määrin ette siitä tulis ongelmaa
Når noe er viktig, klarer jeg å organisere tiden så det får plass;Når noget er vigtigt, kan jeg organisere min tid, så der bliver plads til det;När något är viktigt kan jag organisera min tid så att det får plats;When something is important, I am able to organise my time so it fits.;Quand quelque chose est important, j’arrive à organiser mon temps pour lui faire une place.;Wenn etwas wichtig ist, kann ich meine Zeit so organisieren, dass es Platz bekommt.;Når noko er viktig, klarer eg å organisere tida slik at det får plass;Go muhto lea dehálaš, deavdán áiggi ja ráhkadan dan fitte;Go ášši lea dehálaš, de mun álo divnastan áiggi nu ahte dat sáhttá dahkat;Ko jokin oon tärkeä, minä saan ajjan järjestettyä sille aži
Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen;Mine tanker løber ikke så ofte løbsk, at det hindrer mig i hverdagen;Mina tankar rusar inte så ofta att det hindrar mig i vardagen;My thoughts do not run away so often that it disrupts my daily life.;Mes pensées ne s’emballent pas si souvent que cela gêne mon quotidien.;Meine Gedanken laufen nicht so oft aus dem Ruder, dass es mich im Alltag behindert.;Tankane mine løper ikkje så ofte løpsk at det hindrar meg i kvardagen;Mu jurdagat eai juogahuvvo nu mávssolaččat ahte dat hehttet mu árgabeaivvi;Áddet ii vuodjá mielde nu bures ahte dat fállet mu beaivvi;Ajatukset eivät lähde niin useasti laukalle ette ne haittais arkea
