nb,da
Dette er ikke en ADHD-test,Dette er ikke en ADHD-test
Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon,Jeg kan som regel starte på kedelige opgaver uden større modstand
"Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer","Jeg mister sjældent vigtige ting og finder dem hurtigt, hvis det sker"
Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister,"Jeg bliver som regel opfattet som pålidelig, når det gælder aftaler og deadlines"
Jeg klarer som regel å holde fokus på én oppgave til den er fullført,"Jeg kan som regel holde fokus på én opgave, indtil den er færdig"
Jeg er ikke avhengig av kaos eller siste liten for å komme i gang,Jeg er ikke afhængig af kaos eller sidste øjeblik for at komme i gang
Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre,"Jeg bliver ikke så rastløs, at jeg må bevæge mig eller afbryde andre"
Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer,"Jeg glemmer ikke aftaler eller beskeder i et omfang, der skaber problemer"
"Når noe er viktig, klarer jeg å organisere tiden så det får plass","Når noget er vigtigt, kan jeg organisere min tid, så der bliver plads til det"
Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen,"Mine tanker løber ikke så ofte løbsk, at det hindrer mig i hverdagen"
Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit,Jeg har ikke brug for usædvanligt meget ydre struktur for at fungere godt
Kort om testen,Kort om testen
Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut,"Denne test viser, hvordan fravær af opmærksomheds- og reguleringsvanskeligheder kan se ud"
Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD,Den er ikke diagnostisk. Den kan hverken bekræfte eller afkræfte ADHD
Beregn resultat,Beregn resultat
Spørsmål,Spørgsmål
Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid,"Træk i hver skyder for at vælge, hvor godt udsagnet har passet på dig over tid"
Resultat,Resultat
Tolkning,Tolkning
Gjennomsnittsskår,Gennemsnitsscore
Forbehold,Forbehold
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn","En klinisk vurdering indebærer udviklingshistorie, funktion og fagligt skøn"
Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD,Mennesker kan have lav struktur eller højt tempo uden at det handler om ADHD
Stemmer ikke,Stemmer ikke
Litt,Lidt
Delvis,Delvist
Ganske,Ret godt
Stemmer helt,Stemmer helt
Skift språk,Skift sprog
Du må svare på alle utsagn før resultatet kan beregnes,"Du skal svare på alle udsagn, før resultatet kan beregnes"
Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD,"Dine svar viser få træk, der ligner de reguleringsvanskeligheder, man ser ved ADHD"
Hverdagen virker stabil og forutsigbar,Hverdagen fremstår stabil og forudsigelig
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning","Dit mønster ligger godt inden for normal variation: nogle styrker, lidt friktion, men intet der peger tydeligt i én retning"
"Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon","Du rapporterer flere træk, der kan minde om ADHD, men dette kan lige så vel handle om personlighed, vaner eller livssituation"
"Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen","Du beskriver flere områder, som ofte giver vanskeligheder ved ADHD. Dette er stadig ikke diagnostik, men det kan være værd at overveje en mere formel vurdering, hvis det skaber problemer i hverdagen"
av 5,af 5
Sendt,Sendt
T-skår,T-score
Hva betyr T-skår?,Hvad betyder T-score?
nb.tskår.md,da.tskår.md
Om testen,Om testen
