nb,fkv
Dette er ikke en ADHD-test,Dette ei ole ADHD-testi.
Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon,Minun oon tavalisesti heleppo alottaat tylssät työt ilman isoa kitkaa
"Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer",Minä harvon hukkhaan tärkeitä asioita ja löyvän ne äkkiä ko se tapahtuu
Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister,Minut koetaan yleensä luottettavaksi sovittujen aikojen ja tehtävien kans
Jeg klarer som regel å holde fokus på én oppgave til den er fullført,Minä pystyn tavalisesti pitthään fokuksen yhthen työn loppuunsa
Jeg er ikke avhengig av kaos eller siste liten for å komme i gang,En ole riippuvainen kaaoksesta eli viimihetken pakosta lähteä liikkeele
Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre,En tule niin levottomaksi ette minun pittää liikkua tai keskeyttää toisia
Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer,En unohda sovittuja asioita eli viesthiä siinä määrin ette siitä tulis ongelmaa
"Når noe er viktig, klarer jeg å organisere tiden så det får plass","Ko jokin oon tärkeä, minä saan ajjan järjestettyä sille aži"
Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen,Ajatukset eivät lähde niin useasti laukalle ette ne haittais arkea
Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit,En tarvi epänormaalin paljon ulkopuolista struktuuria toimiakseni hyvin
Kort om testen,Lyhyesti testistä
Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut,"Tämä testi näyttää, millaista voipi olla ilman keskittymis- ja säätelyvaikeuksia."
Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD,Se ei ole diagnostinen. Se ei voi vahvistaat taikka kiistõät ADHD:tä.
Beregn resultat,Laske tulos
Spørsmål,Kysymykset
Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid,"Vedä jokaista liukua valitaksesi, kuin hyvästi lausuma soppii sinule ajassa."
Resultat,Tulos
Tolkning,Tulkinta
Gjennomsnittsskår,Keskiarvopisteet
Forbehold,Varaukset
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn","Kliininen arviointi sisältää kehityshistoorian, toimintakyvyn ja ammattimaisen harkinannan."
Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD,Ihmisillä voipi olla vähä rakenne taikka korkea tempo ilman että se oon ADHD:stä kiini.
Stemmer ikke,Ei sovi
Litt,Vähä
Delvis,Osaksi
Ganske,Aika paljon
Stemmer helt,Soppii kokonhaan
Skift språk,Skift kieli
Du må svare på alle utsagn før resultatet kan beregnes,Sinun pittää vastata kaikkiin väitteisiin ennenkuin tulos voijaan laskea.
Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD,"Sinun vastaukset osoittavat vain harvoja piirteitä, jokka muistuttavat niistä säätelyvankoista mitä nähthään ADHD:ssa."
Hverdagen virker stabil og forutsigbar,Arki näyttäy tasaiselta ja ennustettavalta.
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning","Sinun malli männee hyvin tavallisen vaihtelun sisäle: jotaki vahvuuksia, vähän kitkaa, mutta ei mitn joka osoittais selvästi yhteen suuntaan."
"Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon","Sää raportoit joitaki piirteitä, jokka voijat muistuttaa ADHD:ta, mutta tämä voijaan yhtä hyvin johtua persoonasta, tavoista eli elämäntilanteesta."
"Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen","Sää kuvvailet useita alueita, jokka tiijethään luovan hankaluuksia ADHD:ssa. Tämä ei ole vieläkhään diagnostiikkaa, mutta se voijaa olla arvholista harkita virrallista arviointia jos tämä luopi probleemia arjessa."
av 5,5:stä
Sendt,Lähetetty
T-skår,T-skoori
Hva betyr T-skår?,Mitä T-skoori tarkoittaa?
nb.tskår.md,fkv.tskår.md
Om testen,Om testen
