nb,fr
Dette er ikke en ADHD-test,Ce n’est pas un test de TDAH
Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon,Je parviens généralement à commencer des tâches ennuyeuses sans trop de friction.
"Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer",Je perds rarement des objets importants et je les retrouve vite lorsque cela arrive.
Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister,On me considère généralement comme fiable lorsqu’il s’agit de rendez-vous et d’échéances.
Jeg klarer som regel å holde fokus på én oppgave til den er fullført,Je parviens en général à rester concentré sur une seule tâche jusqu’à ce qu’elle soit terminée.
Jeg er ikke avhengig av kaos eller siste liten for å komme i gang,Je ne dépends pas du chaos ou de la dernière minute pour réussir à démarrer.
Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre,Je ne deviens pas si agité que je dois bouger ou interrompre les autres.
Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer,J’oublie rarement des rendez-vous ou des messages au point que cela cause des problèmes.
"Når noe er viktig, klarer jeg å organisere tiden så det får plass","Quand quelque chose est important, j’arrive à organiser mon temps pour lui faire une place."
Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen,Mes pensées ne s’emballent pas si souvent que cela gêne mon quotidien.
Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit,Je n’ai pas besoin d’une structure externe inhabituelle pour fonctionner correctement.
Kort om testen,Bref au sujet du test
Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut,Ce test illustre à quoi peut ressembler l’absence de difficultés d’attention et d’autorégulation.
Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD,Il n’est pas diagnostique. Il ne peut ni confirmer ni infirmer un TDAH.
Beregn resultat,Calculer le résultat
Spørsmål,Questions
Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid,Faites glisser chaque curseur pour indiquer à quel point l’énoncé vous correspond au fil du temps.
Resultat,Résultat
Tolkning,Interprétation
Gjennomsnittsskår,Score moyen
Forbehold,Réserves
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn","Une évaluation clinique implique l’histoire du développement, le fonctionnement et le jugement professionnel."
Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD,On peut avoir peu de structure ou un rythme élevé sans que cela relève du TDAH.
Stemmer ikke,Ne correspond pas du tout
Litt,Un peu
Delvis,Partiellement
Ganske,Assez
Stemmer helt,Correspond tout à fait
Skift språk,Changer de langue
Du må svare på alle utsagn før resultatet kan beregnes,Vous devez répondre à toutes les affirmations avant que le résultat puisse être calculé.
Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD,Vos réponses montrent peu de caractéristiques ressemblant aux difficultés de régulation que l’on observe dans le TDAH. Le quotidien semble stable et prévisible.
Hverdagen virker stabil og forutsigbar,"Votre profil se situe bien dans la variation normale : quelques forces, un peu de friction, mais rien qui pointe nettement dans une direction."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning","Vous rapportez plusieurs traits pouvant rappeler le TDAH, mais cela peut tout aussi bien relever de la personnalité, des habitudes ou de votre situation de vie."
"Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon","Vous décrivez plusieurs domaines qui, souvent, posent des difficultés chez les personnes avec TDAH. Ce n’est toujours pas un diagnostic, mais il peut valoir la peine de demander une évaluation plus formelle si cela crée des problemer dans le quotidien."
"Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen",sur 5
av 5,Envoyé
Sendt,T-score
T-skår,Que signifie le score T ?
Hva betyr T-skår?,fr.tskår.md
nb.tskår.md,
