nb,nn
Dette er ikke en ADHD-test,Dette er ikkje ein ADHD-test.
Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon,Eg klarer vanlegvis å starte på kjedelege oppgåver utan særleg friksjon
"Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer",Eg mistar sjeldan viktige ting og finn dei raskt att dersom det skjer
Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister,Eg blir stort sett oppfatta som påliteleg når det gjeld avtalar og fristar
Jeg klarer som regel å holde fokus på én oppgave til den er fullført,Eg klarer som regel å halde fokus på éi oppgåve til ho er fullført
Jeg er ikke avhengig av kaos eller siste liten for å komme i gang,Eg er ikkje avhengig av kaos eller siste liten for å kome i gang
Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre,Eg blir ikkje så rastlaus at eg må røre på meg eller avbryte andre
Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer,Eg gløymer ikkje avtalar eller beskjedar i ein grad som skaper problem
"Når noe er viktig, klarer jeg å organisere tiden så det får plass","Når noko er viktig, klarer eg å organisere tida slik at det får plass"
Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen,Tankane mine løper ikkje så ofte løpsk at det hindrar meg i kvardagen
Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit,Eg treng ikkje uvanleg mykje ytre struktur for å fungere greitt
Kort om testen,Kort om testen
Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut,Denne testen viser korleis fråvær av merksemds- og reguleringsvanskar kan sjå ut.
Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD,Ho er ikkje diagnostisk. Ho kan verken stadfeste eller avkrefte ADHD.
Beregn resultat,Rekn ut resultat
Spørsmål,Spørsmål
Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid,Dra i kvar glidebrytar for å velje kor godt utsegnet har stemt for deg over tid.
Resultat,Resultat
Tolkning,Tolkning
Gjennomsnittsskår,Gjennomsnittsskår
Forbehold,Atterhald
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn","Ei klinisk vurdering inneber utviklingshistorie, funksjon og fagleg skjøn."
Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD,Menneske kan ha låg struktur eller høg fart utan at det handlar om ADHD.
Stemmer ikke,Stemmer ikkje
Litt,Litt
Delvis,Delvis
Ganske,Ganske
Stemmer helt,Stemmer heilt
Skift språk,Skift språk
Du må svare på alle utsagn før resultatet kan beregnes,Du må svare på alle utsegna før resultatet kan reknast ut.
Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD,Svara dine viser få trekk som liknar dei reguleringsvanskane ein ser ved ADHD.
Hverdagen virker stabil og forutsigbar,Kvardagen verkar stabil og føreseieleg.
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning","Mønsteret ditt ligg godt innanfor normal variasjon: nokre styrkar, litt friksjon, men ingenting som peikar klart i éi retning."
"Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon","Du rapporterer ein del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlegdom, vanar eller livssituasjon."
"Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen","Du skildrar fleire område som ofte skaper vanskar ved ADHD. Dette er framleis ikkje diagnostikk, men det kan vere verdt ei meir formell vurdering dersom dette skaper problem i kvardagen."
av 5,av 5
Sendt,Sendt
T-skår,T-skår
Hva betyr T-skår?,Kva betyr T-skår?
nb.tskår.md,nn.tskår.md
Om testen,Om testen
