nb,se
Dette er ikke en ADHD-test,Dát ii leat ADHD-geahččaleapmi.
Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon,Mun dovdda láhkái šlára bargguide álgoheapmái haga ruhta
"Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer",Mun vajaldaid ja boazodallán váttisvuođaid vuostáiváldi go dat dáhpáhuvvá
Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister,Mu birra šaddá álo muituhit ahte mun lean ráhkis ja árvvus barggutid ja áigodatid
Jeg klarer som regel å holde fokus på én oppgave til den er fullført,Mun beasán dábálaččat joavkan eret váilevaš barggu ovttadettiin gitta go dat lea máksán
Jeg er ikke avhengig av kaos eller siste liten for å komme i gang,In berošta hurriiheapmái dahje geardduheapmái maŋimuš geardduid ovddos
Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre,In šaddat nu njálmmálaš ahte galgat lihkastit vai geavahit iežan
Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer,In vajálda muitalit dahje dieđit nu buot go dat dagaha váttisvuođaiguin
"Når noe er viktig, klarer jeg å organisere tiden så det får plass","Go muhto lea dehálaš, deavdán áiggi ja ráhkadan dan fitte"
Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen,Mu jurdagat eai juogahuvvo nu mávssolaččat ahte dat hehttet mu árgabeaivvi
Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit,Mun in gáibida unnánge eará ođđa struktuvrra vai sávan bures bargat
Kort om testen,Korte sániin
Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut,Dát geahččaleapmi čájeha mo duššehuhttin- ja regulerenváttisvuođa váilluhanjavdnat sáhttet oidnot.
Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD,Ii leat diagnostihkalaš. Dat ii sáhte gudnejahttit dahje hilmmat ADHD.
Beregn resultat,Rehkenastte bohtosa
Spørsmål,Jearaldagat
Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid,Sirdde juoga geavaheaddji áššiid válljemiiguin vai fuotnavuođat ođasmahttojuvvojit áiggi mielde.
Resultat,Bohtosa
Tolkning,Jearaldat
Gjennomsnittsskår,Ovttastat čuoggáŋ
Forbehold,Viehkkimusat
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn","Earádiagnostihkalaš dáhkku galgá čuovvut ovdánahttinhistorjjá, funkšuvnna ja fágalaš dieđuid."
Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD,"Olbmot sáhttet leat unnán struktur dahje hui bures fásta, muhto dat ii mearkkaš guđe buot lea ADHD."
Stemmer ikke,Ii heive
Litt,Unnit
Delvis,Oassi
Ganske,Arggat
Stemmer helt,Heivet ollu
Skift språk,Šeaŋggat giela
Du må svare på alle utsagn før resultatet kan beregnes,Don ferte vahččat buot dadjat ovdal go sáhttá arvvoštallat bohtosa.
Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD,Don dáhtutvuođain čájehit unnit láhtuheapmavuođaid mat leaš go lea ADHD. Áiggis du árgabeaivi muitalaš geatnegahttit.
Hverdagen virker stabil og forutsigbar,"Du vuohki lea olámuttus normálalaš: muhtun dáhkkiid, muhtun nanna, muhto eai makkárge čielggas hástalusat."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning","Don dieđuhit muhtun dáhkkiid mat sáhttet geavahit ADHD, muhto dát sáhttá maid leat persovnnalaš láhčit, heiveheapmi dahje eluvuohta."
"Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon","Don čilge muhtun guovlluid mat dávjá čuovvulehket ADHD. Ii leat diagnostihkka, muhto sáhttá leat árvvoštallamatge go dát dagaha váttisvuođaid árbevirolaččat."
"Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen",5:s lea
av 5,Sádde
Sendt,T-árvu
T-skår,Maid T-árvu mearkkaša?
Hva betyr T-skår?,se.tskår.md
nb.tskår.md,
